,Title,URL,ID,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 1,"[Monitor] AOC C24G1A 24"" Curved Frameless Gaming Monitor, FHD 1920x1080, 1500R, VA, 1ms MPRT, 165Hz (144Hz supported), FreeSync Premium, Height adjustable ($144.99, In stock from Amazon.com seller)",https://smile.amazon.com/dp/B08D3Y5PFZ,ke1o9g,7,"[('[monitor]', 4), ('-', 3), ('gaming', 2), ('monitor,', 2), ('fhd', 2), ('1080p', 2), ('lcd', 2), ('ips', 2), ('aoc', 1), ('c24g1a', 1)]",4,"[('[monitor]', 5), ('-', 5), ('ips', 3), ('aoc', 2), ('gaming', 2), ('monitor,', 2), ('fhd', 2), ('in', 2), ('stock', 2), ('27""', 2)]",6,"[('[monitor]', 4), ('-', 3), ('gaming', 2), ('monitor,', 2), ('fhd', 2), ('1080p', 2), ('lcd', 2), ('ips', 2), ('aoc', 1), ('c24g1a', 1)]",100,615.0,622,0.9500000000000001
Post 2,[PSU] Super flower Ledex III 850W - 114.99$ (149.99-25-10) Newegg,https://www.newegg.com/super-flower-leadex-iii-sf-850f14hg-850w/p/1HU-024C-00005?Item=9SIAMNPAY43503&cm_sp=Dailydeal_SS-_-9SIAMNPAY43503-_-12162020,ke6ez6,-1,"[('-', 25), ('rgb', 5), ('gaming', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3)]",-1,"[('-', 16), ('[case]', 3), ('[psu]', 2), ('black', 2), ('$20', 2), ('amazon', 2), ('rgb', 2), ('4', 2), ('x', 2), ('plus', 2)]",-1,"[('-', 25), ('rgb', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3), ('gaming', 3)]",80,979.0,138,0.9500000000000001
Post 3,[SSD] SK hynix Gold S31 1TB 3D NAND 2.5 inch SATA III Internal SSD - $83.99 (Clip the coupon),https://smile.amazon.com/gp/product/B07SNHB4RC/,keam65,8,"[('-', 4), ('[ssd]', 3), ('1tb', 3), ('ssd', 3), ('sk', 2), ('hynix', 2), ('gold', 2), ('internal', 2), ('(clip', 2), ('coupon)', 2)]",8,"[('-', 9), ('[ssd]', 7), ('1tb', 7), ('ssd', 6), ('internal', 4), ('nvme', 4), ('m.2', 4), ('sata', 3), ('iii', 3), ('sk', 2)]",9,"[('-', 4), ('[ssd]', 3), ('1tb', 3), ('ssd', 3), ('sk', 2), ('hynix', 2), ('gold', 2), ('internal', 2), ('(clip', 2), ('coupon)', 2)]",62,1279.0,227,0.98
Post 4,[Ryzen 7 5800x] Ryzen 7 5800x 8-core - $449,https://www.amazon.com/AMD-Ryzen-5800X-16-Thread-Processor/dp/B0815XFSGK/ref=sr_1_2?dchild=1&keywords=Ryzen+5800x&qid=1608084863&s=electronics&sr=1-2,ke03pf,0,"[('7', 3), ('-', 3), ('ryzen', 2), ('5800x', 2), ('$449', 2), ('[ryzen', 1), ('5800x]', 1), ('8-core', 1), ('[motherboard]', 1), ('msi', 1)]",9,"[('7', 3), ('ryzen', 2), ('5800x', 2), ('-', 2), ('$449', 2), ('[ryzen', 1), ('5800x]', 1), ('8-core', 1), ('[cpu]', 1), ('amd', 1)]",0,"[('7', 3), ('-', 3), ('ryzen', 2), ('5800x', 2), ('$449', 2), ('[ryzen', 1), ('5800x]', 1), ('8-core', 1), ('[motherboard]', 1), ('msi', 1)]",76,520.0,116,0.84
Post 5,"[Laptop] Lenovo Legion 5 Laptop: Ryzen 5 4600H, GTX 1650 Ti, 1080p 15.6"" 120Hz IPS, 8 GB RAM, 256 GB SSD + 1 TB HDD - $649 ($899 - $250)",https://www.walmart.com/ip/Lenovo-Legion-5-AMD-Ryzen-R5-GTX-1650Ti-8GB-256GB-1TB-Gaming-Laptop/627433588?repost,kdu0e7,9,"[('-', 3), ('[laptop]', 2), ('5', 2), ('gtx', 2), ('1080p', 2), ('15.6""', 2), ('gb', 2), ('lenovo', 1), ('legion', 1), ('laptop:', 1)]",2,"[('-', 3), ('[laptop]', 2), ('5', 2), ('gtx', 2), ('1080p', 2), ('15.6""', 2), ('gb', 2), ('lenovo', 1), ('legion', 1), ('laptop:', 1)]",10,"[('-', 3), ('[laptop]', 2), ('5', 2), ('gtx', 2), ('1080p', 2), ('15.6""', 2), ('gb', 2), ('lenovo', 1), ('legion', 1), ('laptop:', 1)]",35,186.0,108,0.89
Post 6,[SSD] SK hynix Gold P31 1TB PCIe NVMe Gen3 M.2 2280 Internal SSD - up to 3500MB/s - $107.99 (Clip 20% coupon),https://smile.amazon.com/gp/product/B08DKB5LWY,ke6eko,8,"[('-', 4), ('[ssd]', 3), ('1tb', 3), ('ssd', 3), ('sk', 2), ('hynix', 2), ('gold', 2), ('internal', 2), ('(clip', 2), ('coupon)', 2)]",8,"[('-', 9), ('[ssd]', 7), ('1tb', 7), ('ssd', 6), ('internal', 4), ('nvme', 4), ('m.2', 4), ('sata', 3), ('iii', 3), ('sk', 2)]",9,"[('-', 4), ('[ssd]', 3), ('1tb', 3), ('ssd', 3), ('sk', 2), ('hynix', 2), ('gold', 2), ('internal', 2), ('(clip', 2), ('coupon)', 2)]",35,978.0,115,0.9400000000000001
Post 7,[Case] Phanteks Eclipse P500A DRGB White and Black - $140 (Back order),https://www.newegg.com/white-phanteks-eclipse-p500a-atx-mid-tower/p/N82E16811854100,kds44u,-1,"[('-', 25), ('rgb', 5), ('gaming', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3)]",-1,"[('-', 16), ('[case]', 3), ('[psu]', 2), ('black', 2), ('$20', 2), ('amazon', 2), ('rgb', 2), ('4', 2), ('x', 2), ('plus', 2)]",-1,"[('-', 25), ('rgb', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3), ('gaming', 3)]",53,93.0,105,0.89
Post 8,"[SSD] Team Group T-FORCE VULCAN G 2.5"" 1TB SATA III SSD - $78.99 ($95.99-$17)",https://www.newegg.com/team-group-1tb-t-force-vulcan-g/p/N82E16820331555,kdryvh,-1,"[('-', 25), ('rgb', 5), ('gaming', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3)]",8,"[('-', 9), ('[ssd]', 7), ('1tb', 7), ('ssd', 6), ('internal', 4), ('nvme', 4), ('m.2', 4), ('sata', 3), ('iii', 3), ('sk', 2)]",-1,"[('-', 25), ('rgb', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3), ('gaming', 3)]",23,86.0,95,0.9
Post 9,[Case + Wireless Keyboard/Mouse + Face Masks] Rosewill FBM-X2 Micro ATX mini tower case + Rosewill Wireless keyboard and mouse + 50 pc disposable face masks - $34.99 FS,https://smile.amazon.com/dp/B07MDJ2RW8,ke2g2s,4,"[('+', 4), ('wireless', 3), ('face', 2), ('rosewill', 2), ('keyboard', 2), ('mouse', 2), ('-', 2), ('[case', 1), ('keyboard/mouse', 1), ('masks]', 1)]",10,"[('+', 6), ('rosewill', 4), ('[case', 2), ('wireless', 2), ('face', 2), ('atx', 2), ('-', 2), ('keyboard/mouse', 1), ('masks]', 1), ('fbm-x2', 1)]",4,"[('+', 4), ('wireless', 3), ('face', 2), ('rosewill', 2), ('keyboard', 2), ('mouse', 2), ('-', 2), ('[case', 1), ('keyboard/mouse', 1), ('masks]', 1)]",40,665.0,92,0.86
Post 10,[Case] Lian Li O-11 Dynamic (White) NOW IN STOCK - $149.00,https://www.newegg.com/white-lian-li-pc-o11-dynamic-atx-mid-tower/p/N82E16811112582,kdvr0e,-1,"[('-', 25), ('rgb', 5), ('gaming', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3)]",7,"[('[case]', 2), ('lian', 2), ('li', 2), ('-', 2), ('o-11', 1), ('dynamic', 1), ('(white)', 1), ('now', 1), ('in', 1), ('stock', 1)]",-1,"[('-', 25), ('rgb', 5), ('[ssd]', 4), ('1tb', 4), ('$129.99', 4), ('iii', 3), ('[case]', 3), ('ssd', 3), ('[monitor]', 3), ('gaming', 3)]",104,274.0,80,0.86
